Module No,Lesson No,Lesson Title,Category,Item,Length,Limit,Suggested Length,Reduce By (chars)
5,6,Finding the Right Women and Business Groups,quiz,"Q3 option 1: ""Click any group link sent to you, even from unknown numbers""",59,20,20,39
5,6,Finding the Right Women and Business Groups,quiz,"Q3 option 2: ""Only join through a link shared by someone you know and trust""",61,20,20,41
5,6,Finding the Right Women and Business Groups,quiz,"Q3 option 3: ""Join as many groups as possible to increase your chances""",56,20,20,36
5,7,My Voice Matters,quiz,"Q1 option 2: ""I started but didn't finish""",27,20,20,7
5,7,My Voice Matters,quiz,"Q2 option 1: ""Posting angry complaints on your personal WhatsApp status""",57,20,20,37
5,7,My Voice Matters,quiz,"Q2 option 2: ""A polite but firm message to the electricity company's official page, with dates and impact included""",100,20,20,80
5,7,My Voice Matters,quiz,"Q2 option 3: ""Waiting for other traders to complain first""",43,20,20,23
5,7,My Voice Matters,quiz,"Q3 option 1: ""Because your daily experience as a trader is itself valid evidence""",66,20,20,46
5,7,My Voice Matters,quiz,"Q3 option 2: ""Because only officials' opinions count""",38,20,20,18
5,7,My Voice Matters,quiz,"Q3 option 3: ""Because speaking up guarantees an immediate result""",50,20,20,30
